transactionid,transactiondate,customername,product,gender,modeofpayment,contactnumber
1,7/23/2017,Kayle Duffill,Furniture,Female,Cash,+1 (717) 934-4029
2,6/12/2018,Dallas Bollen,Perfume,Female,Ewallet,+359 (768) 549-9235
3,7/25/2018,Stanton Extil,Perfume,Male,CreditCard,+972 (657) 800-4833
4,4/5/2017,Stepha Irnis,Gift Cards,Female,CreditCard,+351 (477) 646-5133
5,12/13/2016,Carl O'Dulchonta,Sports Shoes,Male,DebitCard,+507 (115) 501-4356
6,9/1/2017,Lilias Maulden,Mens wear,Female,,+86 (583) 491-2668
7,8/23/2018,Asa McAreavey,Perfume,Male,Ewallet,+63 (731) 123-6493
8,3/1/2018,Ola Bick,,Female,CreditCard,+351 (850) 387-8908
9,6/27/2017,Emili Teasey,Kids wear,Female,Cash,+20 (574) 143-8989
10,9/13/2017,Shepard Dacres,Ladies wear,Male,DebitCard,+31 (497) 317-3736
11,7/9/2016,Radcliffe Shippey,,Male,DebitCard,+62 (784) 171-4658
12,3/26/2017,Myrwyn Follis,GIFT CARDS,Male,CreditCard,+66 (704) 661-7983
13,3/1/2019,Bary O'Cassidy,LADIES WEAR,Male,Cash,+62 (394) 878-0863
14,9/28/2017,Hercules Freiberg,PERFUME,Male,Cash,+39 (970) 625-0389
15,8/5/2016,Tammie Stood,PERFUME,Male,Ewallet,+62 (393) 405-3952
16,4/20/2018,Odey Stribling,LADIES WEAR,Male,CreditCard,+62 (711) 935-5742
17,7/17/2017,Mil Arlt,,Female,Ewallet,+84 (802) 577-6240
18,1/26/2018,Cecilia Franiak,Ladies wear,Female,Cash,+60 (420) 683-9603
19,1/11/2017,Aristotle Howgill,Furniture,Male,Ewallet,+33 (318) 874-7951
